Name,Race,Race_Specific
René Alvarado,POC,Hispanic
Renée Jones,POC,Black
Renee Tenison,POC,Black
ReSheda D. Terry,POC,Black
Rhona Bennett,POC,Black
Rhonda Marie Alston,POC,Black
Rhonda Stubbins White,POC,Black
Rhyon Nicole Brown,POC,Black
Ricardo Chavira,POC,Hispanic
Ricardo Darín,POC,Hispanic
Ricardo de Montreuil,POC,Hispanic
Richard Cabral,POC,Hispanic
Richard Pryor,POC,Black
Rick Gonzalez,POC,Hispanic
Rick Yune,POC,Asian
Ricky Martin,POC,Hispanic
Rico Rodriguez,POC,Hispanic
Rigo Sanchez,POC,Hispanic
Rihanna,POC,Black
Rila Fukushima,POC,Asian
Rinko Kikuchi,POC,Asian
Rita Moreno,POC,Hispanic
Robert Lopez,POC,Hispanic
Robert Rodriguez,POC,Hispanic
Robert Salvador,POC,Hispanic
Roberto Orci,POC,Hispanic
Roberto Urbina,POC,Hispanic
Robin Givens,POC,Black
Robin Miles,POC,Black
Robinne Lee,POC,Black
Rochelle Aytes,POC,Black
Rodo Sayagues,POC,Hispanic
Rodrigo Cortés,POC,Hispanic
Rodrigo De la Serna,POC,Hispanic
Rodrigo García,POC,Hispanic
Rodrigo Prieto,POC,Hispanic
Rodrigo Santoro,POC,Hispanic
Ronnie Del Carmen,POC,Hispanic
Rosa Salazar,POC,Hispanic
Rosalind Cash,POC,Black
Rosalyn Coleman,POC,Black
Rosario Dawson,POC,Hispanic
Rose Jackson,POC,Black
Rose Rollins,POC,Black
Roselyn Sanchez,POC,Hispanic
Rosetta LeNoire,POC,Black
Rosie Perez,POC,Hispanic
Roxann Blackman,POC,Black
Roxanne Beckford,POC,Black
Roxanne Shanté,POC,Black
Roxie Roker,POC,Black
Roz Ryan,POC,Black
Rozonda 'Chilli' Thomas,POC,Black
Rubén Blades,POC,Hispanic
Ruby Dee,POC,Black
Rukiya Bernard,POC,Black
Ruth E. Carter,POC,Black
Rutina Wesley,POC,Black
Ryan Destiny,POC,Black
Ryan Guzman,POC,Hispanic
Ryan Michelle Bathe,POC,Black
Ryan Oliva,POC,Hispanic
Ryan Potter,POC,Asian
S. Epatha Merkerson,POC,Black
Saaphyri Windsor,POC,Black
Sabrina Reitman,POC,Black
Sahara Ware,POC,Black
Sahndra Fon Dufe,POC,Black
Saige Hooke,POC,Black
Salina Soto,POC,Black
Salli Richardson-Whitfield,POC,Black
Sallie Toussaint,POC,Black
Sally Stewart,POC,Black
Salma Hayek,POC,Hispanic
Samantha Kaine,POC,Black
Samantha Sadoff,POC,Black
Samara Amat,POC,Black
Samaria Graham,POC,Black
Sammi Cheng,POC,Asian
Sammy Davis Jr.,POC,Black
Samuel L. Jackson,POC,Black
Samuel Patrick Chu,POC,Asian
Sanaa Lathan,POC,Black
Sanai Victoria,POC,Black
Sandi McCree,POC,Black
Sandi Schultz,POC,Black
Sandra Echeverría,POC,Hispanic
Sandra Prosper,POC,Black
Sandra Thigpen,POC,Black
Sandy Brown,POC,Black
Sandy Daley,POC,Black
Saniyya Sidney,POC,Black
Santiago Cabrera,POC,Hispanic
Santino Fontana,POC,Hispanic
Sanura Harris,POC,Black
Sara Malakul Lane,POC,Asian
Sara Martins,POC,Black
Sara Pickett,POC,Black
Sara Ramirez,POC,Hispanic
Sarah Barrable-Tishauer,POC,Black
Sarah Himmelstein,POC,Black
Sarah Jones,POC,Black
Sarah Lian,POC,Asian
Sarah Ramos,POC,Hispanic
Sarunas J. Jackson,POC,Hispanic
Sasha Calle,POC,Hispanic
Sasha Morfaw,POC,Black
Sasha the Diva,POC,Black
Saudia Rashed,POC,Black
Saycon Sengbloh,POC,Black
Sayo,POC,Asian
Scarlet Spencer,POC,Black
Scatman Crothers,POC,Black
Schatar Sapphira Collier,POC,Black
Sean Teale,POC,Hispanic
Sebastián Silva,POC,Hispanic
Sei Ashina,POC,Asian
Selena Buckle,POC,Black
Selena Gomez,POC,Hispanic
Selenis Leyva,POC,Hispanic
Selina Lo,POC,Asian
Selita Ebanks,POC,Black
Sergio Avelar,POC,Hispanic
Sergio Mendes,POC,Hispanic
Serria Tawan,POC,Black
Seychelle Gabriel,POC,Hispanic
Shadi Chauke,POC,Black
Shakira,POC,Hispanic
Shalim Ortiz,POC,Hispanic
Shandell Crutchfield,POC,Black
Shani Pride,POC,Black
Shanica Knowles,POC,Black
Shannon Brinson,POC,Black
Shannon Kane,POC,Black
Shannon McClain Robertson,POC,Black
Shanola Hampton,POC,Black
Shantell Martin,POC,Black
Shar Jackson,POC,Black
Sharan C. Mansfield,POC,Black
Shareeka Epps,POC,Black
Shareena Clanton,POC,Black
Shari Headley,POC,Black
Shari Watson,POC,Black
Sharice Henry Chasi,POC,Black
Sharifa Oliver,POC,Black
Sharmell Sullivan-Huffman,POC,Black
Sharon Battle,POC,Black
Sharon Brown,POC,Black
Sharon Conley,POC,Black
Sharon Duncan-Brewster,POC,Black
Sharon Jones,POC,Black
Sharon Leal,POC,Black
Sharrie McCain,POC,Black
Shaun Landry,POC,Black
Shaun Robinson,POC,Black
Shauna Chin,POC,Black
Shaune Bagwell,POC,Black
Shaunette Renée Wilson,POC,Black
Shawn Wayans,POC,Black
Shay Mitchell,POC,Asian
Shayla Love,POC,Black
Shaznay Lewis,POC,Black
Sheila Guyse,POC,Black
Shelley Robertson,POC,Black
Shenell Edmonds,POC,Black
Sheree Ali,POC,Black
Sherri Daye Scott,POC,Black
Sherri Howard,POC,Black
Sherri Saum,POC,Black
Sherri Shepherd,POC,Black
Sherry Richards,POC,Black
Sheryl Lee Ralph,POC,Black
Sheryl Underwood,POC,Black
Shiloh Fernandez,POC,Hispanic
Shirley Burns,POC,Black
Shirley Jordan,POC,Black
Shondrella Avery,POC,Black
Shuya Chang,POC,Asian
Sidné Anderson,POC,Black
Sierra Aylina McClain,POC,Black
Silawn Lewis,POC,Black
Simena Jazell,POC,Black
Simone Boyce,POC,Black
Simone Missick,POC,Black
Sinbad,POC,Black
Sinitta,POC,Black
Siya,POC,Black
Skai Jackson,POC,Black
Skye Townsend,POC,Black
Skyla I'Lece Woodard,POC,Black
Snoop Dogg,POC,Black
Sofia Carson,POC,Hispanic
Sofía Vergara,POC,Hispanic
Solange,POC,Black
Sommore,POC,Black
Sonequa Martin-Green,POC,Black
Song Hye-Kyo,POC,Asian
Soni Bringas,POC,Hispanic
Sonia Couling,POC,Asian
Sonja Sohn,POC,Black
Sonoya Mizuno,POC,Asian
Sonya Eddy,POC,Black
Sope Aluko,POC,Black
Sophia Leonie,POC,Black
Sophia Thomas,POC,Black
Sophiane Cineus,POC,Black
Sophie Okonedo,POC,Black
Sophina Brown,POC,Black
Soulja Boy,POC,Black
Stacey Dash,POC,Black
Stacie Greenwell,POC,Black
Stacy Arnell,POC,Black
Star Jones,POC,Black
Starla Benford,POC,Black
Starletta DuPois,POC,Black
Stella Williams,POC,Black
Steph Song,POC,Asian
Stephanie Adams,POC,Black
Stephanie Beatriz,POC,Hispanic
Stephanie Love,POC,Black
Stephanie Moseley,POC,Black
Stephanie Sigman,POC,Hispanic
Stevanna Jackson,POC,Black
Steven Yeun,POC,Asian
Storm Reid,POC,Black
Sufe Bradshaw,POC,Black
Summer Selby,POC,Black
Sundra Oakley,POC,Black
Sundy Carter,POC,Black
Suzann McLean,POC,Black
Suzzanne Douglas,POC,Black
Sy Smith,POC,Black
Sybil Azur,POC,Black
Sydelle Noel,POC,Black
Sydney Lindsay Johnson,POC,Black
Sydney Park,POC,Black
Sydney Tamiia Poitier,POC,Black
Sydni Beaudoin,POC,Black
Sylvia Stewart,POC,Black
T.I.,POC,Black
Tadasay Young,POC,Black
Tade Adepoyibi,POC,Black
Taís Araújo,POC,Black
Taja V. Simpson,POC,Black
Taji Coleman,POC,Black
Talia Toms,POC,Black
Talu Wang,POC,Asian
Tamala Jones,POC,Black
Tamar Braxton,POC,Black
Tamara A. Bruno,POC,Black
Tamara Dobson,POC,Black
Tamara Goodwin,POC,Black
Tamara Taylor,POC,Black
Tamara Tunie,POC,Black
Tamela J. Mann,POC,Black
Tamera Mowry-Housley,POC,Black
Tami Jordan,POC,Black
Tami Roman,POC,Black
Tamika Parrish,POC,Black
Tamika Simpkins,POC,Black
Tammi Clayton,POC,Black
Tammi Mac,POC,Black
Tammy Townsend,POC,Black
Tamron Hall,POC,Black
Tanedra Howard,POC,Black
Tangi Miller,POC,Black
Tanika Brown McKelvy,POC,Black
Tanisha Grant,POC,Black
Tanisha Harper,POC,Black
Tanjareen Thomas,POC,Black
Tanya Thompson,POC,Black
Tanya Wright,POC,Black
Tanyell Waivers,POC,Black
Tao Okamoto,POC,Asian
Taraji P. Henson,POC,Black
Taral Hicks,POC,Black
Ta'Rhonda Jones,POC,Black
Tarina Pouncy,POC,Black
Tasha Smith,POC,Black
Tasia Sherel,POC,Black
Tatiana A. Bruno,POC,Black
Tatyana Ali,POC,Black
Tawny Dahl,POC,Black
Taya Amerson,POC,Black
Taylor Faye Ruffin,POC,Black
Taylor Love,POC,Black
Taylor Russell,POC,Black
Taylour Paige,POC,Black
Teal Marchande,POC,Black
Teala Dunn,POC,Black
Teisha Speight,POC,Black
Telisha Shaw,POC,Black
Telma Hopkins,POC,Black
Tempestt Bledsoe,POC,Black
Temple Poteat,POC,Black
Teneisha Campbell,POC,Black
Tenika Davis,POC,Black
Tenique Mathieu,POC,Black
Tenisha Torres,POC,Black
Tenoch Huerta,POC,Hispanic
Teresa Graves,POC,Black
Teresa L. Graves,POC,Black
Terrence Howard,POC,Black
Terri Abney,POC,Black
Terri J. Vaughn,POC,Black
Terry Burrell,POC,Black
Terry Crews,POC,Black
Tessa Ia,POC,Hispanic
Tessa Thompson,POC,Black
Thandie Newton,POC,Black
The Lady of Rage,POC,Black
The Notorious B.I.G.,POC,Black
Thea Camara,POC,Black
Thelma Carpenter,POC,Black
Theo Rossi,POC,Hispanic
Theodora Ibekwe Oyebade,POC,Black
Theresa Randle,POC,Black
Tia Blake,POC,Black
Tia Mowry-Hardrict,POC,Black
Tichina Arnold,POC,Black
Tiffany Ayoung,POC,Black
Tiffany Boone,POC,Black
Tiffany Daniels,POC,Black
Tiffany Evans,POC,Black
Tiffany Haddish,POC,Black
Tiffany Jeneen,POC,Black
Tiffany Simone English,POC,Black
Tiffany Tynes,POC,Black
Tijuana Ricks,POC,Black
Tika Sumpter,POC,Black
Tina Lifford,POC,Black
Tina Redmond,POC,Black
Tina Turner,POC,Black
Tinashe,POC,Black
Tiny Harris,POC,Black
Tionne 'T-Boz' Watkins,POC,Black
Tisha Campbell,POC,Black
T'Keyah Crystal Keymáh,POC,Black
Toks Olagundoye,POC,Black
Tom Choi,POC,Asian
Tom Yi,POC,Asian
Tomi Townsend,POC,Black
Tomiko Fraser,POC,Black
Toni Braxton,POC,Black
Toni Duclottni,POC,Black
Toni M. Youngblood,POC,Black
Tony Burton,POC,Black
Tony L. Calloway,POC,Black
Tony Plana,POC,Hispanic
Tony Revolori,POC,Hispanic
Tony Vidal,POC,Hispanic
Tonya Pinkins,POC,Black
Tonya Sharae Davis,POC,Black
Tori Reid,POC,Black
Torrei Hart,POC,Black
Toru Uchikado,POC,Asian
Tosha Lynette,POC,Black
Towanda Underdue,POC,Black
Tracee Ellis Ross,POC,Black
Tracey Cherelle Jones,POC,Black
Tracey Graves,POC,Black
Tracey Leigh,POC,Black
Traci Bingham,POC,Black
Tracie Spencer,POC,Black
Tracie Thoms,POC,Black
Tracy Camilla Johns,POC,Black
Tracy Morgan,POC,Black
Tre Armstrong,POC,Black
Treisa Gary,POC,Black
Treshelle Edmond,POC,Black
Tressa Thomas,POC,Black
Trina Braxton,POC,Black
Trina McGee,POC,Black
True Whitaker,POC,Black
Tupac Shakur,POC,Black
Tyler James Williams,POC,Black
Tyler Perry,POC,Black
Tyler Posey,POC,Hispanic
Tyra Banks,POC,Black
Tyra Ferrell,POC,Black
Tyreah Herbert,POC,Black
Tyrel Jackson Williams,POC,Black
Ungela Brockman,POC,Black
Ungenita Prevost,POC,Black
Usher,POC,Black
Uzo Aduba,POC,Black
Vaja,POC,Black
Valarie Pettiford,POC,Black
Valarie Rae Miller,POC,Black
Valerie Cruz,POC,Hispanic
Valerie Fairman,POC,Black
Valerie McIntosh,POC,Black
Valerie Sue Love,POC,Black
Valisa Tate,POC,Black
Vanessa Bell Calloway,POC,Black
Vanessa Chester,POC,Black
Vanessa Hudgens,POC,Hispanic
Vanessa Martinez,POC,Hispanic
Vanessa Morgan,POC,Black
Vanessa Suarez,POC,Hispanic
Vanessa Thorpe,POC,Black
Vanessa Williams,POC,Black
Vanity,POC,Black
Vannessa Vasquez,POC,Hispanic
Velvet Rose,POC,Black
Vernee Watson,POC,Black
Veronica Berry,POC,Black
Veronica Falcón,POC,Hispanic
Veronica Webb,POC,Black
Vickilyn Reynolds,POC,Black
Vicky Lambert,POC,Black
Vico Escorcia,POC,Hispanic
Victor Cruz,POC,Hispanic
Victor Manso,POC,Hispanic
Victor Rasuk,POC,Hispanic
Victoria Cartagena,POC,Hispanic
Victoria Dillard,POC,Black
Victoria Gabrielle Platt,POC,Black
Victoria Genisce,POC,Black
Victoria Justice,POC,Hispanic
Victoria Rowell,POC,Black
Vienna Hehir,POC,Asian
Vincent Rodriguez III,POC,Asian
Viola Davis,POC,Black
Virginia Capers,POC,Black
Vivian Oparah,POC,Black
Vivica A. Fox,POC,Black
Vivicca A. Whitsett,POC,Black
Vonetta McGee,POC,Black
Wagner Moura,POC,Hispanic
Walter Perez,POC,Hispanic
Walter Salles,POC,Hispanic
Wanda Sykes,POC,Black
Wanjiru M. Njendu,POC,Black
Wei Zhao,POC,Asian
Wen Jiang,POC,Asian
Wendy Davis,POC,Black
Wendy Raquel Robinson,POC,Black
Wendy Williams,POC,Black
Wesley Snipes,POC,Black
Whitney Andrews,POC,Black
Whitney Houston,POC,Black
Whitney Peak,POC,Black
Whoopi Goldberg,POC,Black
Will Smith,POC,Black
Will.i.am,POC,Black
William Levy,POC,Hispanic
Willow Smith,POC,Black
Wilmer Calderon,POC,Hispanic
Wilmer Valderrama,POC,Hispanic
Wilson Cruz,POC,Hispanic
Windell Middlebrooks,POC,Black
Winnie Harlow,POC,Black
Wiz Khalifa,POC,Black
Won Bin,POC,Asian
Wulan Guritno,POC,Asian
Wunmi Mosaku,POC,Black
Wynter Daggs,POC,Black
Xochitl Gomez,POC,Hispanic
Xolo Maridueña,POC,Hispanic
Xosha Roquemore,POC,Black
Xzibit,POC,Black
Yamaneika Saunders,POC,Black
Yara Martinez,POC,Hispanic
Yara Shahidi,POC,Black
Yaya DaCosta,POC,Black
Yifei Liu,POC,Asian
Yolanda English,POC,Black
Yolanda T. Ross,POC,Black
Yolanda 'Yo-Yo' Whittaker,POC,Black
Yolonda Ross,POC,Black
Yun Choi,POC,Asian
Yunjin Kim,POC,Asian
Yvette Cason,POC,Black
Yvette Monreal,POC,Hispanic
Yvette Nicole Brown,POC,Black
Yvette Saunders,POC,Black
Yvette Wilson,POC,Black
Yvonna Kopacz Wright,POC,Black
Yvonne Huff,POC,Black
Yvonne Orji,POC,Black
Z.M. Nan Khan,POC,Black
Zabryna Guevara,POC,Black
Zandi Zim,POC,Black
Zara Cully,POC,Black
Zarinah Reed,POC,Black
Zazie Beetz,POC,Black
Zee James,POC,Black
Zenaida Telfair,POC,Black
Zendaya,POC,Black
Zenzi Williams,POC,Black
Zetna Fuentes,POC,Hispanic
Zoë Kravitz,POC,Black
Zoë Robins,POC,Black
Zoe Saldana,POC,Black
Zola Williams,POC,Black
Zondra Wilson,POC,Black
