"titles","year","imdb_rating","num_votes","genre","film_rating","director","lead_actor","gross","max_theaters","opening_gross","opening_weekend_perc","opening_theaters","open_date","close_date","Race","Race_Specific"
"The Big Sick","2017",7.5,122770,"Comedy","R","Michael Showalter","Kumail Nanjiani",42873127,4038,421577,"1",4038,"2017-09-01","2017-09-01","Not POC","White"
"Valerian and the City of a Thousand Planets","2017",6.5,164411,"Comedy","PG-13","Luc Besson","Dane DeHaan",41189488,4003,17007624,"41.3",4003,"2017-01-01","2017-01-01","Not POC","White"
"The Star","2017",6.3,7016,"Comedy","PG","Timothy Reckart","Steven Yeun",40852824,4058,9812674,"24",4058,"2017-10-01","2017-10-01","POC","Asian"
"The Star","2017",6.3,7016,"Comedy","PG","Timothy Reckart","Steven Yeun",43510,0,43510,"100",0,"2019-07-01","2019-07-01","POC","Asian"
"Ghost in the Shell","2017",6.3,198248,"Comedy","PG-13","Rupert Sanders","Scarlett Johansson",40563557,4058,18676033,"46",4058,"2017-02-01","2017-02-01","Not POC","White"
"Paddington 2","2017",7.8,62970,"Comedy","PG","Paul King","Ben Whishaw",40891591,2894,11001961,"26.9",2894,"2018-03-01","2018-03-01","Not POC","White"
"King Arthur: Legend of the Sword","2017",6.7,194328,"Comedy","PG-13","Guy Ritchie","Charlie Hunnam",39175066,3113,15371270,"39.2",3113,"2017-02-01","2017-02-01","Not POC","White"
"Jigsaw","2017",5.8,69603,"Comedy","R","Michael Spierig","Peter Spierig",38052832,3113,16640452,"43.7",3113,"2017-04-01","2017-04-01","Not POC","White"
"American Assassin","2017",6.2,71822,"Comedy","R","Michael Cuesta","Dylan O'Brien",36249674,4075,14846778,"41",4075,"2017-07-01","2017-07-01","Not POC","White"
"The Foreigner","2017",7,103967,"Comedy","R","Martin Campbell","Katie Leung",34393507,4075,13113024,"38.1",4075,"2017-11-01","2017-11-01","Not POC","White"
"Everything, Everything","2017",6.4,33757,"Comedy","PG-13","Stella Meghie","Amandla Stenberg",34121140,3693,11727390,"34.4",3693,"2017-03-01","2017-03-01","POC","Black"
"Wind River","2017",7.7,210907,"Comedy","R","Taylor Sheridan","Elizabeth Olsen",33800859,3693,161558,"0.5",3693,"2017-06-01","2017-06-01","Not POC","White"
"Geostorm","2017",5.3,96516,"Comedy","PG-13","Dean Devlin","Gerard Butler",33700160,3630,13707376,"40.7",3630,"2017-12-01","2017-12-01","Not POC","White"
"Fist Fight","2017",5.6,39942,"Comedy","R","Richie Keen","Ice Cube",32187017,2851,12201873,"37.9",2851,"2017-12-01","2017-12-01","POC","Black"
"How to Be a Latin Lover","2017",6,14508,"Comedy","PG-13","Ken Marino","Eugenio Derbez",32149404,9,12252439,"38.1",9,"2017-05-01","2017-05-01","POC","Hispanic"
"Kidnap","2017",5.9,34350,"Comedy","R","Luis Prieto","Halle Berry",30971040,4035,10016323,"32.3",4035,"2017-06-01","2017-06-01","POC","Black"
"The Mountain Between Us","2017",6.4,68525,"Comedy","PG-13","Hany Abu-Assad","Kate Winslet",30348555,3377,10551336,"34.8",3377,"2017-08-01","2017-08-01","Not POC","White"
"Life","2017",6.6,209449,"Comedy","R","Daniel Espinosa","Jake Gyllenhaal",30234022,3377,12501936,"41.4",3377,"2017-11-01","2017-11-01","Not POC","White"
"I, Tonya","2017",7.5,185854,"Comedy","R","Craig Gillespie","Margot Robbie",30014539,3772,264155,"0.9",3772,"2017-05-01","2017-05-01","Not POC","White"
"Hostiles","2017",7.2,73612,"Comedy","R","Scott Cooper","Scott Shepherd",29819114,3761,22849,"<0.1",3761,"2017-08-01","2017-08-01","Not POC","White"
"Molly's Game","2017",7.4,147534,"Comedy","R","Aaron Sorkin","Jessica Chastain",28780744,3529,2349967,"8.2",3529,"2017-06-01","2017-06-01","Not POC","White"
"The Nut Job 2: Nutty by Nature","2017",5.5,5972,"Comedy","PG","Cal Brunker","Will Arnett",28370522,3434,8342311,"29.4",3434,"2017-11-01","2017-11-01","Not POC","White"
