titles,gross,max_theaters,opening_gross,opening_weekend_perc,opening_theaters,open_date,close_date
The White Storm 2: Drug Lords,609461,129,244795,40.2,129,2019-02-01,2019-02-01
The Least of These: The Graham Staines Story,607015,64,282472,46.5,64,2019-04-01,2019-04-01
The Chaperone,600654,2549,12150,0,2549,2019-03-01,2019-03-01
Furie,594788,2548,156120,26.2,2548,2019-04-01,2019-04-01
To Kill a Mockingbird,592237,2844,357549,60.4,2844,2019-11-01,2019-11-01
Bethany Hamilton: Unstoppable,590671,2844,241740,40.9,2844,,
The Public,573503,1127,259455,45.2,1127,2019-03-01,2019-03-01
My Fair Lady,560711,5,354764,63.3,5,2019-05-01,2019-05-01
The Shining,551257,270,0,0,270,2019-02-01,2019-02-01
Fiddler: A Miracle of Miracles,549386,258,36425,6.6,258,2019-04-01,2019-04-01
Everybody's Everything,547207,2542,60582,11.1,2542,2019-09-01,2019-09-01
"DCI 2019: Big, Loud & Live 16",546060,2542,0,0,2542,2019-10-01,2019-10-01
A Brother's Love,539524,922,59438,11,922,2019-08-01,2019-08-01
Grateful Dead Meet-Up 2019,537153,922,3786,0.7,922,,
Code Geass: Lelouch of the Re;Surrection,522805,527,189617,36.3,527,2019-03-01,2019-03-01
Shadow,521396,4,27474,5.3,4,2019-05-01,2019-05-01
Long Day's Journey Into Night,521365,2073,26746,5.1,2073,2019-05-01,2019-05-01
The Spy Behind Home Plate,519525,2073,10250,0,2073,2019-06-01,2019-06-01
Wild Nights with Emily,519487,873,30209,5.8,873,2019-08-01,2019-08-01
Saving Private Ryan,508694,873,265125,52.1,873,,
Birds of Passage,507259,89,23082,4.6,89,2019-07-01,2019-07-01
Tel Aviv on Fire,506145,89,47545,9.4,89,,
Whisper of the Heart,498156,305,0,0,305,2019-10-01,2019-10-01
Nausicaä of the Valley of the Wind,495770,305,0,0,305,,
Batla House,493180,288,212645,43.1,288,2019-06-01,2019-06-01
The Climbers,487157,19,156096,32,19,,
The Great Alaskan Race,485603,788,0,0,788,2019-10-01,2019-10-01
The Russian Five,485049,1,156732,32.3,1,,
63 Up,483684,266,13956,2.9,266,2019-10-01,2019-10-01
Lawrence of Arabia,482281,4,291722,60.5,4,,
CatVideoFest,470923,1501,11269,2.4,1501,2019-05-01,2019-05-01
Exit,470699,1495,32441,6.9,1495,2019-06-01,2019-06-01
Panipat,461863,207,295624,64,207,2019-06-01,2019-06-01
Les Misérables: The Staged Concert,459478,7,192034,41.8,7,,
Christmas Jars,459462,1240,0,0,1240,2019-08-01,2019-08-01
Gorillaz: Reject False Icons,453687,1240,0,0,1240,2019-09-01,2019-09-01
Cruel Intentions,445218,285,258708,58.1,285,2019-05-01,2019-05-01
Teen Spirit,441366,5,43620,9.9,5,,
De De Pyaar De,425934,247,425934,100,247,2019-09-01,2019-09-01
Killing Sarai,425332,7,226670,53.3,7,,
Hail Satan?,424284,132,26496,6.2,132,2019-01-01,2019-01-01
Pagalpanti,423340,101,227714,53.8,101,2019-03-01,2019-03-01
Ash Is Purest White,422814,2329,45150,0,2329,2019-01-01,2019-01-01
Ben-Hur,422622,2329,241792,57.2,2329,2019-02-01,2019-02-01
Fate/stay night [Heaven's Feel] II. lost butterfly,420595,125,0,0,125,2019-12-01,2019-12-01
The Cold Blue,420177,70,0,0,70,,
The Reliant,408747,334,0,0,334,2019-12-01,2019-12-01
The Invisibles,407373,2,27164,6.7,2,,
Monos,406473,135,49843,12.3,135,2019-08-01,2019-08-01
Meet Me in St. Louis,403521,66,225684,55.9,66,,
"Hello, Dolly!",400881,263,221204,55.2,263,2019-08-01,2019-08-01
The Nightingale,400209,263,35882,9,263,2019-09-01,2019-09-01
Mia and the White Lion,399471,415,192816,48.3,415,2019-02-01,2019-02-01
The Man Who Killed Don Quixote,391963,270,0,0,270,2019-03-01,2019-03-01
The Wedding Guest,386166,997,18266,4.7,997,2019-01-01,2019-01-01
The Secret World of Arrietty,384289,997,226728,59,997,,
What We Left Behind: Star Trek DS9,382457,1100,0,0,1100,2019-03-01,2019-03-01
The Cure: Anniversary 1978-2018 Live in Hyde Park,378405,1100,38761,10.2,1100,2019-05-01,2019-05-01
Matthias & Maxime,374739,147,64988,17.3,147,2019-05-01,2019-05-01
Ashfall,372562,2,36201,9.7,2,,
The Hummingbird Project,371784,180,34202,9.2,180,2019-06-01,2019-06-01
Ghostbusters,369612,6,239202,64.7,6,,
Clemency,364716,460,35444,9.7,460,2019-11-01,2019-11-01
The Shawshank Redemption,358507,4,183128,51.1,4,,
The Tomorrow Man,354103,311,18281,5.2,311,2019-06-01,2019-06-01
"Cyrano, My Love",351019,311,0,0,311,2019-07-01,2019-07-01
Star Trek: The Motion Picture,346243,1586,220007,63.5,1586,2019-09-01,2019-09-01
