titles,gross,max_theaters,opening_gross,opening_weekend_perc,opening_theaters,open_date,close_date
Star Wars: Episode VIII - The Last Jedi,620181382,4232,220009584,35.5,4232,2017-12-01,2017-12-01
Beauty and the Beast,504014165,4232,174750616,34.7,4232,2017-04-01,2017-04-01
Wonder Woman,412563408,4210,103251471,25,4210,2017-03-01,2017-03-01
Jumanji: Welcome to the Jungle,404515480,4210,36169328,8.9,4210,2017-07-01,2017-07-01
Guardians of the Galaxy Vol. 2,389813101,4165,146510104,37.6,4165,2017-06-01,2017-06-01
Spider-Man: Homecoming,334201140,4165,117027503,35,4165,2017-11-01,2017-11-01
It,327481748,3849,123403419,37.7,3849,2017-12-01,2017-12-01
Thor: Ragnarok,315058289,3765,122744989,39,3765,2017-05-01,2017-05-01
Despicable Me 3,264624300,4347,72434025,27.4,4347,2017-05-01,2017-05-01
Justice League,229024295,4347,93842239,41,4347,2017-09-01,2017-09-01
Logan,226277068,4348,88411916,39.1,4348,2017-07-01,2017-07-01
The Fate of the Furious,226008385,4348,98786705,43.7,4348,2017-11-01,2017-11-01
Coco,210460015,4148,50802605,24.1,4148,2017-09-01,2017-09-01
Dunkirk,188045546,4103,50513488,26.9,4103,2017-12-01,2017-12-01
Get Out,176040665,4080,33377060,19,4080,2017-11-01,2017-11-01
The Lego Batman Movie,175750384,4080,53003468,30.2,4080,2017-03-01,2017-03-01
The Boss Baby,175003033,4535,50198902,28.7,4535,2017-06-01,2017-06-01
The Greatest Showman,174340174,4529,8805843,5.1,4529,2017-12-01,2017-12-01
Pirates of the Caribbean: Dead Men Tell No Tales,172558876,4051,62983253,36.5,4051,2017-11-01,2017-11-01
Kong: Skull Island,168052812,4051,61025472,36.3,4051,2017-03-01,2017-03-01
Cars 3,152901115,4071,53688680,35.1,4071,2017-03-01,2017-03-01
War for the Planet of the Apes,146880162,4071,56262929,38.3,4071,2017-07-01,2017-07-01
Split,138291365,4329,40010975,28.9,4329,2017-04-01,2017-04-01
Wonder,132422809,4310,27547866,20.8,4310,2017-08-01,2017-08-01
Transformers: The Last Knight,130168683,3987,44680073,34.3,3987,2017-11-01,2017-11-01
Girls Trip,115171585,3987,31201920,27.1,3987,2017-04-01,2017-04-01
Fifty Shades Darker,114581250,4014,46607250,40.7,4014,2017-07-01,2017-07-01
Baby Driver,107825862,3720,20553320,19.1,3720,2017-11-01,2017-11-01
Pitch Perfect 3,104897530,3143,19928525,19,3143,2017-02-01,2017-02-01
Daddy's Home 2,104029443,2781,29651193,28.5,2781,2017-02-01,2017-02-01
Murder on the Orient Express,102826543,4088,28681472,27.9,4088,2017-02-01,2017-02-01
Annabelle: Creation,102092201,4088,35006404,34.3,4088,2017-06-01,2017-06-01
Kingsman: The Golden Circle,100229647,3829,39023010,38.9,3829,2017-03-01,2017-03-01
Blade Runner 2049,92054159,3773,32753122,35.6,3773,2017-11-01,2017-11-01
John Wick: Chapter 2,92029184,3342,30436123,33.1,3342,2017-12-01,2017-12-01
The Emoji Movie,86089513,3006,24531923,28.5,3006,2017-07-01,2017-07-01
Power Rangers,85364450,4276,40300288,47.2,4276,2017-05-01,2017-05-01
Ferdinand,84410380,4276,13401586,15.9,4276,2017-09-01,2017-09-01
The Post,81903458,3846,526011,0.6,3846,2017-03-01,2017-03-01
The Mummy,80227895,3846,31688375,39.5,3846,2017-06-01,2017-06-01
The Hitman's Bodyguard,75468583,4256,21384504,28.3,4256,2017-06-01,2017-06-01
Alien: Covenant,74262031,4256,36160621,48.7,4256,2017-11-01,2017-11-01
Captain Underpants: The First Epic Movie,73921000,4100,23851539,32.3,4100,2017-07-01,2017-07-01
A Bad Moms Christmas,72110659,4022,16759161,23.2,4022,2017-11-01,2017-11-01
A Dog's Purpose,64508620,3373,18222810,28.2,3373,2017-01-01,2017-01-01
The Shape of Water,63859435,3038,166564,0.3,3038,2017-05-01,2017-05-01
The Lego Ninjago Movie,59281555,3519,20433071,34.5,3519,2017-11-01,2017-11-01
Baywatch,58060186,3096,18503871,31.9,3096,2017-03-01,2017-03-01
The Shack,57386418,4132,16172119,28.2,4132,2017-06-01,2017-06-01
Darkest Hour,56468410,4069,175006,0.3,4069,2017-08-01,2017-08-01
Happy Death Day,55683845,2648,26039025,46.8,2648,2017-07-01,2017-07-01
"Three Billboards Outside Ebbing, Missouri",54513740,2591,322168,0.6,2591,2017-10-01,2017-10-01
Atomic Blonde,51687870,3714,18286420,35.4,3714,2017-02-01,2017-02-01
American Made,51342000,3710,16776390,32.7,3710,2017-04-01,2017-04-01
The Dark Tower,50701325,3226,19153698,37.8,3226,2017-06-01,2017-06-01
Lady Bird,48958273,3226,364437,0.7,3226,2017-10-01,2017-10-01
Boo 2! A Madea Halloween,47319572,3468,21226953,44.9,3468,2017-12-01,2017-12-01
Snatched,45852178,3447,19542248,42.6,3447,2017-03-01,2017-03-01
The Great Wall,45540830,3575,18469620,40.6,3575,2017-11-01,2017-11-01
Smurfs: The Lost Village,45020282,3575,13210449,29.3,3575,2017-02-01,2017-02-01
Going in Style,45018541,3354,11932330,26.5,3354,2017-11-01,2017-11-01
All Eyez on Me,44922302,3341,26435354,58.8,3341,2017-03-01,2017-03-01
xXx: Return of Xander Cage,44898413,3565,20130142,44.8,3565,2017-08-01,2017-08-01
47 Meters Down,44307191,3502,11205561,25.3,3502,2017-11-01,2017-11-01
The Big Sick,42873127,4038,421577,1,4038,2017-09-01,2017-09-01
Valerian and the City of a Thousand Planets,41189488,4003,17007624,41.3,4003,2017-01-01,2017-01-01
The Star,40852824,4058,9812674,24,4058,2017-10-01,2017-10-01
Ghost in the Shell,40563557,4058,18676033,46,4058,2017-02-01,2017-02-01
King Arthur: Legend of the Sword,39175066,3113,15371270,39.2,3113,2017-02-01,2017-02-01
Jigsaw,38052832,3113,16640452,43.7,3113,2017-04-01,2017-04-01
American Assassin,36249674,4075,14846778,41,4075,2017-07-01,2017-07-01
The Foreigner,34393507,4075,13113024,38.1,4075,2017-11-01,2017-11-01
"Everything, Everything",34121140,3693,11727390,34.4,3693,2017-03-01,2017-03-01
Wind River,33800859,3693,161558,0.5,3693,2017-06-01,2017-06-01
Geostorm,33700160,3630,13707376,40.7,3630,2017-12-01,2017-12-01
Monster Trucks,33370166,3621,10950705,32.8,3621,2017-05-01,2017-05-01
Fist Fight,32187017,2851,12201873,37.9,2851,2017-12-01,2017-12-01
How to Be a Latin Lover,32149404,9,12252439,38.1,9,2017-05-01,2017-05-01
Kidnap,30971040,4035,10016323,32.3,4035,2017-06-01,2017-06-01
Underworld: Blood Wars,30353973,4035,13688751,45.1,4035,2017-08-01,2017-08-01
The Mountain Between Us,30348555,3377,10551336,34.8,3377,2017-08-01,2017-08-01
Life,30234022,3377,12501936,41.4,3377,2017-11-01,2017-11-01
"I, Tonya",30014539,3772,264155,0.9,3772,2017-05-01,2017-05-01
Hostiles,29819114,3761,22849,<0.1,3761,2017-08-01,2017-08-01
Molly's Game,28780744,3529,2349967,8.2,3529,2017-06-01,2017-06-01
The Nut Job 2: Nutty by Nature,28370522,3434,8342311,29.4,3434,2017-11-01,2017-11-01
Rings,27793018,3615,13002632,46.8,3615,2017-11-01,2017-11-01
Logan Lucky,27780977,3615,7600036,27.4,3615,2017-01-01,2017-01-01
Home Again,27020284,3178,8567881,31.7,3178,2017-01-01,2017-01-01
Resident Evil: The Final Chapter,26830068,3059,13601682,50.7,3059,2017-05-01,2017-05-01
The House,25584504,2341,8724795,34.1,2341,2017-12-01,2017-12-01
All the Money in the World,25113707,2,5584684,22.2,2,2017-05-01,2017-05-01
Gifted,24801212,4047,446380,1.8,4047,2017-09-01,2017-09-01
Downsizing,24449754,4047,4954287,20.3,4047,2017-11-01,2017-11-01
The Bye Bye Man,22395806,3647,13501349,60.3,3647,2017-05-01,2017-05-01
Victoria & Abdul,22245070,3647,158845,0.7,3647,2017-07-01,2017-07-01
Rough Night,22105643,2888,8004283,36.2,2888,2017-03-01,2017-03-01
My Little Pony: The Movie,21885107,2888,8885899,40.6,2888,2017-05-01,2017-05-01
Leap!,21858070,1733,4730038,21.6,1733,2017-11-01,2017-11-01
Phantom Thread,21198205,4,216495,1,4,2017-04-01,2017-04-01
The Disaster Artist,21120616,3535,1211345,5.7,3535,2017-10-01,2017-10-01
Sleepless,20783704,3149,8344128,40.1,3149,2017-12-01,2017-12-01
Diary of a Wimpy Kid: The Long Haul,20738724,1726,7126084,34.4,1726,2017-11-01,2017-11-01
The Circle,20497844,4,9034148,44.1,4,2017-05-01,2017-05-01
Baahubali 2: The Conclusion,20186659,3326,10430497,51.7,3326,2017-07-01,2017-07-01
CHIPS,18600152,3304,7722802,41.5,3304,2017-10-01,2017-10-01
Only the Brave,18343983,3098,6002665,32.7,3098,2017-09-01,2017-09-01
Call Me by Your Name,18095701,3024,412932,2.3,3024,2017-12-01,2017-12-01
Mother!,17800004,3451,7534673,42.3,3451,2017-08-01,2017-08-01
The Zookeeper's Wife,17571660,3451,3288835,18.7,3451,2017-10-01,2017-10-01
Father Figures,17501244,1557,3287451,18.8,1557,2017-11-01,2017-11-01
The Glass Castle,17273059,4,4678548,27.1,4,2017-04-01,2017-04-01
Flatliners,16883115,2388,6574326,38.9,2388,2017-10-01,2017-10-01
Detroit,16790139,2388,350190,2.1,2388,2017-12-01,2017-12-01
The Case for Christ,14682684,3511,3967885,27,3511,2017-05-01,2017-05-01
Wish Upon,14301505,3501,5467084,38.2,3501,2017-08-01,2017-08-01
It Comes at Night,13985117,3328,5988370,42.8,3328,2017-02-01,2017-02-01
Born in China,13873211,3326,4790367,34.5,3326,2017-06-01,2017-06-01
Megan Leavey,13406883,3610,3810867,28.4,3610,2017-04-01,2017-04-01
The Founder,12786053,3610,3404102,26.6,3610,2017-08-01,2017-08-01
Battle of the Sexes,12638526,3076,518332,4.1,3076,2017-04-01,2017-04-01
Before I Fall,12241122,3061,4690214,38.3,3061,2017-07-01,2017-07-01
"Roman J. Israel, Esq.",11962778,2471,61999,0.5,2471,2017-06-01,2017-06-01
Unforgettable,11368012,2471,4785431,42.1,2471,2017-08-01,2017-08-01
The Beguiled,10709995,3651,229292,2.1,3651,2017-01-01,2017-01-01
The Belko Experiment,10166820,3651,4137230,40.7,3651,2017-03-01,2017-03-01
Marshall,10051659,2471,3000805,29.9,2471,2017-06-01,2017-06-01
Thank You for Your Service,9536300,2270,3817700,40,2270,2017-10-01,2017-10-01
Rock Dog,9420546,2597,3704749,39.3,2597,2017-06-01,2017-06-01
The Lost City of Z,8580410,5,110175,1.3,5,2017-10-01,2017-10-01
The Promise,8224288,3553,4095718,49.8,3553,2017-07-01,2017-07-01
A Cure for Wellness,8106986,3553,4356941,53.7,3553,2017-09-01,2017-09-01
The Space Between Us,7885294,2976,3775596,47.9,2976,2017-11-01,2017-11-01
Let There Be Light,7233471,2837,1729535,23.9,2837,2017-02-01,2017-02-01
Gold,7227038,3440,3471316,48,3440,2017-03-01,2017-03-01
I Am Not Your Negro,7123919,3440,686378,9.6,3440,2017-05-01,2017-05-01
Beatriz at Dinner,7115854,3702,141959,2,3702,2017-05-01,2017-05-01
Birth of the Dragon,6901965,3702,2702430,39.2,3702,2017-07-01,2017-07-01
Loving Vincent,6735118,2941,23180,0.3,2941,2017-10-01,2017-10-01
The Snowman,6700035,2941,3372565,50.3,2941,2017-12-01,2017-12-01
Same Kind of Different as Me,6423605,3154,2591985,40.4,3154,2017-09-01,2017-09-01
Lowriders,6303560,3154,2403885,38.1,3154,2017-11-01,2017-11-01
Maudie,6170998,2515,45920,0.7,2515,2017-10-01,2017-10-01
Just Getting Started,6069605,2515,3201459,52.7,2515,2017-12-01,2017-12-01
The Florida Project,5904366,2801,157553,2.7,2801,2017-05-01,2017-05-01
All Saints,5802208,2801,1514278,26.1,2801,2017-07-01,2017-07-01
Suburbicon,5775178,2890,2840246,49.2,2890,2017-08-01,2017-08-01
The Man Who Invented Christmas,5676486,4,1357129,23.9,4,2017-12-01,2017-12-01
Paris Can Wait,5617731,3246,98850,1.8,3246,2017-10-01,2017-10-01
Tiger Zinda Hai,5560921,3246,1787108,32.1,3246,2017-01-01,2017-01-01
Your Name.,5017246,3119,1813781,36.2,3119,2017-01-01,2017-01-01
The Book of Henry,4504974,3119,1424540,31.6,3119,2017-03-01,2017-03-01
Stronger,4211129,3185,1611040,38.3,3185,2017-02-01,2017-02-01
The Hero,4077333,3185,45317,1.1,3185,2017-04-01,2017-04-01
Sleight,3986245,1203,1701785,42.7,1203,2017-04-01,2017-04-01
A United Kingdom,3902185,1118,66510,1.7,1118,2017-06-01,2017-06-01
Norman,3814868,2418,99211,2.6,2418,2017-08-01,2017-08-01
Friend Request,3759078,2378,2002863,53.3,2378,2017-11-01,2017-11-01
Table 19,3614896,3070,1597928,44.2,3070,2017-01-01,2017-01-01
Their Finest,3603484,3070,76197,2.1,3070,2017-03-01,2017-03-01
Phoenix Forgotten,3600146,3259,1816499,50.5,3259,2017-10-01,2017-10-01
An Inconvenient Sequel: Truth to Power,3496795,3088,124823,3.6,3088,2017-12-01,2017-12-01
Til Death Do Us Part,3455267,3146,1527289,44.2,3146,2017-03-01,2017-03-01
Raees,3262954,3146,1798379,55.1,3146,2017-06-01,2017-06-01
The Leisure Seeker,3226443,1450,0,0,1450,2017-12-01,2017-12-01
Close Encounters of the Third Kind,3100479,4,1767758,57,4,2017-04-01,2017-04-01
Colossal,3029287,2934,120226,4,2934,2017-12-01,2017-12-01
Ingrid Goes West,3024308,3,135301,4.5,3,2017-05-01,2017-05-01
Leap!,2844490,1708,181091,6.4,1708,2017-12-01,2017-12-01
The Oscar Nominated Short Films 2017: Live Action,2835355,271,692399,24.4,271,2017-03-01,2017-03-01
Kedi,2835047,4003,40103,1.4,4003,2017-08-01,2017-08-01
Wolf Warrior 2,2721100,4003,219022,8,4003,2017-09-01,2017-09-01
My Cousin Rachel,2716368,2931,969941,35.7,2931,2017-02-01,2017-02-01
Showtime Championship Boxing: Floyd Mayweather vs. Conor McGregor,2620183,2931,2620183,100,2931,2017-03-01,2017-03-01
A Question of Faith,2587072,3031,1025489,39.6,3031,2017-08-01,2017-08-01
Is Genesis History?,2570392,3031,0,0,3031,2017-11-01,2017-11-01
Disney's Newsies: The Broadway Musical!,2545060,3036,1333538,52.4,3036,2017-09-01,2017-09-01
IN OUR HANDS: Battle for Jerusalem,2534370,2940,0,0,2940,2017-11-01,2017-11-01
Do It Like An Hombre,2534252,3104,1174484,46.3,3104,2017-01-01,2017-01-01
LBJ,2470979,3104,1110565,44.9,3104,2017-03-01,2017-03-01
Tulip Fever,2455635,3134,1158017,47.2,3134,2017-06-01,2017-06-01
The Salesman,2402067,3134,71078,3,3134,2017-08-01,2017-08-01
T2 Trainspotting,2402004,2123,170575,7.1,2123,2017-12-01,2017-12-01
Pokémon the Movie: I Choose You!,2401722,2074,0,0,2074,2017-03-01,2017-03-01
Jeepers Creepers III,2335162,2215,19151,0.8,2215,2017-04-01,2017-04-01
The Resurrection of Gavin Stone,2303792,56,1206771,52.4,56,2017-08-01,2017-08-01
The Killing of a Sacred Deer,2291901,2668,115120,5,2668,2017-12-01,2017-12-01
Collide,2280004,2668,1512824,66.4,2668,2017-02-01,2017-02-01
The Lovers,2194521,2220,66286,3,2220,2017-01-01,2017-01-01
The Patriarch,2156047,2220,978894,45.4,2220,2017-02-01,2017-02-01
Brad's Status,2133158,1060,89921,4.2,1060,2017-09-01,2017-09-01
Good Time,2026499,4,125101,6.2,4,2017-01-01,2017-01-01
Badrinath Ki Dulhania,1993259,3162,862008,43.2,3162,2017-06-01,2017-06-01
Everybody Loves Somebody,1915789,3162,924201,48.2,3162,2017-08-01,2017-08-01
Along With the Gods: The Two Worlds,1908823,2528,185546,9.7,2528,2017-10-01,2017-10-01
Youth,1891956,2528,338604,17.9,2528,2017-12-01,2017-12-01
A Quiet Passion,1865396,2705,45825,2.5,2705,2017-08-01,2017-08-01
Toilet: A Love Story,1830715,2575,678436,37.1,2575,2017-12-01,2017-12-01
The Wall,1803064,1186,897955,49.8,1186,2017-12-01,2017-12-01
Free Fire,1799312,4,994431,55.3,4,2017-04-01,2017-04-01
The Last Word,1783421,1010,31630,1.8,1010,2017-12-01,2017-12-01
Goodbye Christopher Robin,1735251,19,57917,3.3,19,2017-03-01,2017-03-01
Jane,1723379,1803,58348,3.4,1803,2017-01-01,2017-01-01
Menashe,1703036,1803,62078,3.6,1803,2017-03-01,2017-03-01
Dunkirk,1695119,3174,122115,7.2,3174,2017-05-01,2017-05-01
Slamma Jamma,1687000,3157,1687000,0,3157,2017-08-01,2017-08-01
Jab Harry Met Sejal,1664648,3163,1284740,77.2,3163,2017-04-01,2017-04-01
Jolly LLB 2,1654254,3163,774355,46.8,3163,2017-06-01,2017-06-01
The Little Hours,1647175,425,56676,3.4,425,2017-04-01,2017-04-01
A Ghost Story,1596371,425,104030,6.5,425,2017-05-01,2017-05-01
Professor Marston & the Wonder Women,1584759,2464,736883,46.5,2464,2017-03-01,2017-03-01
The Stray,1579440,2464,596547,37.8,2464,2017-05-01,2017-05-01
Genesis: Paradise Lost,1575000,2577,0,0,2577,2017-10-01,2017-10-01
A Taxi Driver,1527829,2577,331854,21.7,2577,2017-02-01,2017-02-01
Sword Art Online the Movie: Ordinal Scale,1522976,914,196454,12.9,914,2017-11-01,2017-11-01
Inhumans,1521787,4,1135440,74.6,4,2017-04-01,2017-04-01
The Square,1502347,2368,74233,4.9,2368,2017-09-01,2017-09-01
Mully,1489771,2368,0,0,2368,2017-10-01,2017-10-01
Judwaa 2,1431255,1057,638045,44.6,1057,2017-03-01,2017-03-01
The Wedding Plan,1412404,541,31658,2.2,541,2017-06-01,2017-06-01
Wonder Wheel,1404061,2902,125570,8.9,2902,2017-12-01,2017-12-01
My Friend Dahmer,1361611,2902,35545,2.6,2902,2017-02-01,2017-02-01
The Dinner,1323312,1461,653944,49.4,1461,2017-08-01,2017-08-01
Personal Shopper,1305195,1461,79175,6.1,1461,2017-10-01,2017-10-01
Churchill,1281258,2552,408891,31.9,2552,2017-09-01,2017-09-01
The Sense of an Ending,1274420,2552,39692,3.1,2552,2017-11-01,2017-11-01
Chonda Pierce: Enough,1260116,3007,0,0,3007,2017-07-01,2017-07-01
3 idiotas,1249233,20,609249,48.8,20,2017-10-01,2017-10-01
True to the Game,1231040,1386,472436,38.4,1386,2017-04-01,2017-04-01
Steve McQueen: American Icon,1229782,1174,0,0,1174,2017-06-01,2017-06-01
The Women's Balcony,1200885,2250,16620,1.4,2250,2017-07-01,2017-07-01
Spirited Away,1196791,2250,903896,75.5,2250,2017-10-01,2017-10-01
The Trip to Spain,1157604,2533,40875,3.5,2533,2017-06-01,2017-06-01
Step,1146292,2533,146488,12.8,2533,2017-09-01,2017-09-01
Lady Macbeth,1129408,1508,64537,5.7,1508,2017-04-01,2017-04-01
Viceroy's House,1105717,1508,48134,4.4,1508,2017-07-01,2017-07-01
The Battleship Island,1104957,1956,59344,5.4,1956,2017-06-01,2017-06-01
Wonderstruck,1060377,1956,65882,6.2,1956,2017-09-01,2017-09-01
Terminator 2: Judgment Day,1037809,1115,552773,53.3,1115,2017-01-01,2017-01-01
Film Stars Don't Die in Liverpool,1026124,1115,36048,0,1115,2017-04-01,2017-04-01
Casablanca,1024560,1822,596068,58.2,1822,2017-09-01,2017-09-01
Columbus,1017107,21,26820,2.6,21,2017-12-01,2017-12-01
Yu-Gi-Oh!: The Dark Side of Dimensions,1015339,2346,656756,64.7,2346,2017-03-01,2017-03-01
Golmaal Again,1013893,2346,1013893,100,2346,2017-04-01,2017-04-01
1945,1006193,1669,20365,2,1669,2017-11-01,2017-11-01
Last Flag Flying,965481,4,40558,4.2,4,2017-02-01,2017-02-01
Lucky,955925,2417,43293,4.5,2417,2017-04-01,2017-04-01
Faces Places,953717,2417,31006,3.3,2417,2017-06-01,2017-06-01
Landline,940854,941,52555,5.6,941,2017-06-01,2017-06-01
Tubelight,930058,4,930058,100,4,2017-08-01,2017-08-01
The Red Turtle,921974,1341,21010,2.3,1341,2017-03-01,2017-03-01
Frantz,880883,1341,18745,2.1,1341,2017-05-01,2017-05-01
Journey to the West: The Demons Strike Back,880346,821,463883,52.7,821,2017-10-01,2017-10-01
The Polar Express,875150,821,1321,0.2,821,2017-01-01,2017-01-01
Jagga Jasoos,861740,2083,490232,56.9,2083,2017-10-01,2017-10-01
The Ex-File 3: The Return of The Exes,838959,2054,125291,14.9,2054,2017-11-01,2017-11-01
Bombshell: The Hedy Lamarr Story,820300,2077,8000,0,2077,2017-02-01,2017-02-01
Patti Cake$,800148,2077,67599,8.4,2077,2017-04-01,2017-04-01
George Takei's Allegiance,784850,866,784850,100,866,2017-04-01,2017-04-01
Mark Felt: The Man Who Brought Down the White House,768946,4,34217,4.4,4,2017-07-01,2017-07-01
Mubarakan,758868,2251,310170,40.9,2251,2017-04-01,2017-04-01
Walk With Me,726726,2251,9932,1.4,2251,2017-05-01,2017-05-01
May it Last: A Portrait of the Avett Brothers,725286,2704,9616,1.3,2704,2017-02-01,2017-02-01
Revive Us 2,718607,2704,0,0,2704,2017-03-01,2017-03-01
The Exception,708973,2812,21351,3,2812,2017-02-01,2017-02-01
Countdown to Canelo vs. Golovkin,703396,2812,703396,100,2812,2017-03-01,2017-03-01
Chris Brown: Welcome To My Life,693984,774,0,0,774,2017-10-01,2017-10-01
Titanic,691642,373,438602,63.4,373,2017-02-01,2017-02-01
Lost in Paris,691597,2166,4510,0.7,2166,2017-01-01,2017-01-01
Shubh Mangal Savdhan,689874,2166,259999,37.7,2166,2017-03-01,2017-03-01
The Devotion of Suspect X,686435,320,323207,47.1,320,2017-02-01,2017-02-01
Wilson,653951,43,336227,51.4,43,2017-06-01,2017-06-01
Jonah: The Musical,631154,683,0,0,683,2017-06-01,2017-06-01
The Only Living Boy in New York,624332,5,54458,8.7,5,2017-10-01,2017-10-01
Neither Wolf Nor Dog,606511,1633,0,0,1633,2017-08-01,2017-08-01
The Midwife,603582,1618,21341,3.5,1618,2017-09-01,2017-09-01
Battle of Memories,594552,218,224942,37.8,218,2017-09-01,2017-09-01
Novitiate,580346,1,22724,3.9,1,2017-03-01,2017-03-01
Tommy's Honour,569306,1815,209190,36.7,1815,2017-10-01,2017-10-01
Bitter Harvest,557241,1812,219357,39.4,1812,2017-11-01,2017-11-01
Samaritan's Purse presents Facing Darkness,555533,1362,0,0,1362,2017-10-01,2017-10-01
Dolores,555309,1362,13534,2.4,1362,2017-02-01,2017-02-01
Brigsby Bear,532669,365,39652,7.4,365,2017-05-01,2017-05-01
Human Flow,527845,295,45677,8.7,295,2017-06-01,2017-06-01
Fairy Tail: Dragon Cry,519461,233,169203,32.6,233,2017-04-01,2017-04-01
Raw,514870,4,24825,4.8,4,2017-11-01,2017-11-01
Our President,507268,2161,9421,1.9,2161,2017-12-01,2017-12-01
Breathe,490131,2161,22285,4.5,2161,2017-01-01,2017-01-01
Once Upon A Time,485728,229,249933,51.5,229,2017-10-01,2017-10-01
Confidential Assignment,475618,4,21228,4.5,4,2017-03-01,2017-03-01
Beach Rats,473771,846,46451,9.8,846,2017-08-01,2017-08-01
Duckweed,471575,846,160739,34.1,846,2017-10-01,2017-10-01
DCI 2017 Tour Premeire,467817,2046,0,0,2046,2017-10-01,2017-10-01
Phillauri,467596,2046,260982,55.8,2046,2017-11-01,2017-11-01
Chasing the Dragon,456854,720,138346,30.3,720,2017-11-01,2017-11-01
Sailor Moon R: The Movie: The Promise of the Rose,452053,626,253490,56.1,626,2017-01-01,2017-01-01
Song to Song,443684,447,50559,11.4,447,2017-05-01,2017-05-01
One Piece Film: Gold,423593,4,50241,11.9,4,2017-09-01,2017-09-01
A Gentleman,410055,299,191530,46.7,299,2017-12-01,2017-12-01
"Love, Kennedy",407871,299,45285,11.1,299,2017-01-01,2017-01-01
Chasing Trane: The John Coltrane Documentary,406284,311,16626,4.1,311,2017-04-01,2017-04-01
Samurai Cop,384756,311,0,0,311,2017-07-01,2017-07-01
I'll Push You: A Real-Life Inspiration,378899,650,0,0,650,2017-06-01,2017-06-01
Tom of Finland,378296,579,13524,3.6,579,2017-08-01,2017-08-01
Rebel in the Rye,378294,645,37967,10,645,2017-09-01,2017-09-01
BOSTON: An American Running Story,364369,573,0,0,573,2017-11-01,2017-11-01
Kung Fu Yoga,362657,447,111979,30.9,447,2017-06-01,2017-06-01
Disney Junior HalloVeen Party!,359745,4,0,0,4,2017-10-01,2017-10-01
Letters from Baghdad,359735,591,19725,5.5,591,2017-04-01,2017-04-01
OK Jaanu,355922,565,225968,63.5,565,2017-06-01,2017-06-01
Long Strange Trip - The Untold Story of The Grateful Dead,351957,317,33272,9.5,317,2017-02-01,2017-02-01
Pearl Jam: Let's Play Two,348833,4,53177,15.2,4,2017-05-01,2017-05-01
Countdown to Canelo vs. Chavez Jr.,343387,373,343387,100,373,2017-04-01,2017-04-01
This Is Not What I Expected,337670,5,135252,40.1,5,2017-07-01,2017-07-01
God's Own Country,335609,2573,17768,5.3,2573,2017-09-01,2017-09-01
In the Fade,321011,2573,10455,3.3,2573,2017-11-01,2017-11-01
Chuck,320725,868,34565,10.8,868,2017-03-01,2017-03-01
Obit.,315049,868,0,0,868,2017-04-01,2017-04-01
Citizen Jane: Battle for the City,313411,330,31451,10,330,2017-04-01,2017-04-01
City Of Rock,312537,4,115524,37,4,2017-06-01,2017-06-01
The Breadwinner,312381,1626,17395,5.6,1626,2017-04-01,2017-04-01
A Silent Voice: The Movie,310407,1626,121732,39.2,1626,2017-06-01,2017-06-01
My Life as a Zucchini,309766,556,31853,10.3,556,2017-07-01,2017-07-01
Happy End,301718,4,23091,7.7,4,2017-09-01,2017-09-01
Ittefaq,298032,562,298032,100,562,2017-09-01,2017-09-01
Buddies in India,293194,562,181705,62,562,2017-11-01,2017-11-01
I Do... Until I Don't,280668,265,170775,60.8,265,2017-01-01,2017-01-01
After the Storm,272132,265,27880,10.2,265,2017-02-01,2017-02-01
Stalker,269881,353,20540,7.6,353,2017-12-01,2017-12-01
Wakefield,262599,0,11299,4.3,0,2017-07-01,2017-07-01
"I, Daniel Blake",260354,901,18682,7.2,901,2017-09-01,2017-09-01
Cezanne et Moi,257597,901,15744,6.1,901,2017-09-01,2017-09-01
Dean,254536,327,60366,23.7,327,2017-04-01,2017-04-01
The Fortress,252895,4,0,0,4,2017-07-01,2017-07-01
Gook,250130,647,27044,10.8,647,2017-08-01,2017-08-01
Sarkar 3,249588,3,164364,65.9,3,2017-10-01,2017-10-01
Band Aid,248370,237,29013,11.7,237,2017-02-01,2017-02-01
Black Butler: Book of the Atlantic,248286,77,0,0,77,,
The Swindlers,241916,272,82818,34.2,272,2017-02-01,2017-02-01
The Ottoman Lieutenant,240978,206,149830,62.2,206,2017-03-01,2017-03-01
Crown Heights,238558,130,30173,12.6,130,2017-02-01,2017-02-01
American Satan,237708,1,135378,57,1,,
Little Shop of Horrors,233865,53,156288,66.8,53,2017-07-01,2017-07-01
Jeremiah Tower: The Last Magnificent,228153,53,20268,8.9,53,2017-10-01,2017-10-01
Rumble: The Indians Who Rocked The World,226006,531,0,0,531,2017-06-01,2017-06-01
California Typewriter,218563,523,5031,2.3,523,2017-08-01,2017-08-01
Railroad Tigers,218044,532,116211,53.3,532,2017-08-01,2017-08-01
All I See Is You,217644,532,144076,66.2,532,2017-08-01,2017-08-01
The Adventurers,216556,661,68614,31.7,661,2017-09-01,2017-09-01
Big Sonia,212471,661,4398,2.1,661,2017-12-01,2017-12-01
Truman,210840,704,18258,8.7,704,2017-02-01,2017-02-01
Donnie Darko,207971,0,57259,27.5,0,2017-03-01,2017-03-01
The Prison,207481,780,80376,38.7,780,2017-02-01,2017-02-01
Risk,200219,780,76327,38.1,780,2017-02-01,2017-02-01
